Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Area,population,Area/population,UnenploymentRate
Finland,Western Europe,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,338424,5532156,0.06117398,7.251999855
Denmark,Western Europe,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,43094,5771876,0.007466203,4.830999851
Norway,Western Europe,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,323802,5378857,0.060199035,3.967000008
Iceland,Western Europe,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,103000,339031,0.303807026,2.950000048
Netherlands,Western Europe,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,41850,17097130,0.002447779,3.760999918
Switzerland,Western Europe,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,41284,8591365,0.00480529,4.874000072
Sweden,Western Europe,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,450295,10036379,0.044866281,6.837999821
New Zealand,Australia and New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,270467,4783063,0.056546819,4.80700016
Canada,North America,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,9984670,37411047,0.266890953,6.05700016
Austria,Western Europe,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,83871,8955102,0.009365722,4.635000229
Australia,Australia and New Zealand,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,7692024,25203198,0.305200316,5.328000069
Costa Rica,Latin America and Caribbean,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,51100,5047561,0.010123701,8.190999985
Israel,Middle East and Northern Africa,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,20770,8519377,0.002437972,3.930999994
Luxembourg,Western Europe,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2586,615729,0.0041999,5.413000107
United Kingdom,Western Europe,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,242900,67530172,0.003596911,3.809000015
Ireland,Western Europe,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,70273,4882495,0.014392846,5.28399992
Germany,Western Europe,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,357114,83517045,0.004275942,3.198999882
Belgium,Western Europe,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,30528,11539328,0.002645561,6.440999985
United States,North America,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,9372610,329064917,0.028482556,3.868999958
Czech Republic,Central and Eastern Europe,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,78865,10689209,0.007378001,2.473999977
United Arab Emirates,Middle East and Northern Africa,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,83600,9770529,0.008556343,2.642999887
Malta,Western Europe,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,316,440372,0.000717575,4.626999855
Mexico,Latin America and Caribbean,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,1964375,127575529,0.015397741,3.378000021
France,Western Europe,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,551695,65129728,0.008470709,9.098999977
Taiwan,Eastern Asia,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,36193,23773876,0.001522385,3.7
Chile,Latin America and Caribbean,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,756102,18952038,0.039895551,7.43200016
Guatemala,Latin America and Caribbean,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,108889,17581472,0.006193395,2.746000051
Saudi Arabia,Middle East and Northern Africa,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2149690,34268528,0.062730736,5.918000221
Qatar,Middle East and Northern Africa,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,11586,2832067,0.004091005,0.144999996
Spain,Western Europe,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,505992,46736776,0.010826421,14.69999981
